slide_ID,num_patches,all_patches
JMR0003,3238,55056
JMR0004,8449,41026
JMR0005,9641,328202
JMR0006,693,328202
JMR0007,14252,43560
JMR0009,2972,21760
JMR0010,12460,35931
JMR0011,18158,70245
JMR0012,12349,61308
JMR0013,13480,70952
JMR0014,2868,25650
JMR0015,22118,328202
JMR0019,1998,15930
JMR0020,14709,69799
JMR0022,17264,130963
JMR0023,6873,28676
JMR0024,242,34960
JMR0025,18262,48755
JMR0027,8396,31442
JMR0028,18309,48319
JMR0029,6875,328202
JMR0031,2763,328202
JMR0032,13121,113344
JMR0033,10970,328202
JMR0035,3610,328202
JMR0037,478,328202
JMR0040,23292,90624
JMR0041,63907,162506
JMR0042,12433,52324
JMR0043,14310,70638
JMR0044,10894,42402
JMR0045,13558,39900
JMR0046,10071,43424
JMR0047,7471,38227
JMR0048,4439,328202
JMR0049,4423,20216
JMR0051,4961,24073
JMR0052,18106,70299
JMR0053,6178,328202
JMR0054,13799,44275
JMR0055,2085,328202
JMR0056,8844,32025
JMR0057,21959,117645
JMR0058,19321,69915
JMR0059,5520,92877
JMR0060,12366,328202
JMR0062,14816,54432
JMR0063,2270,328202
JMR0064,27613,125852
JMR0065,22325,58101
JMR0067,25759,109138
JMR0068,23040,102595
JMR0069,2516,328202
JMR0070,21085,59568
JMR0071,2780,15456
JMR0072,15789,53106
JMR0073,14509,92868
JMR0074,1955,328202
JMR0075,23666,59496
JMR0076,28913,68634
JMR0077,27499,103020
JMR0079,61804,328202
JMR0080,9712,46189
JMR0081,40736,108576
JMR0082,5469,33667
JMR0083,3079,27048
JMR0084,5890,328202
JMR0085,2718,328202
JMR0086,26498,98816
JMR0087,20870,99840
JMR0088,2612,328202
JMR0089,13462,47261
JMR0090,13076,44982
JMR0091,41623,137900
JMR0094,5600,35075
JMR0095,7570,69552
JMR0096,8987,328202
JMR0097,7976,328202
JMR0098,1250,328202
JMR0099,11001,328202
JMR0101,5823,41412
JMR0102,18221,328202
JMR0103,15639,54776
JMR0104,13309,50616
JMR0105,11529,97468
JMR0107,5249,25480
JMR0108,7686,39884
JMR0109,13071,54060
JMR0110,6989,34428
JMR0112,8123,35910
JMR0115,17845,87120
JMR0116,3642,21804
JMR0117,3071,34650
JMR0119,8778,328202
JMR0120,3999,328202
JMR0121,12212,48514
JMR0122,5044,39852
JMR0124,25760,328202
JMR0125,3245,30652
JMR0126,33363,328202
JMR0127,6857,31392
JMR0128,31683,108381
JMR0130,15421,62307
JMR0131,11972,57311
JMR0132,3713,40820
JMR0134,20546,74730
JMR0135,42334,328202
JMR0136,8621,328202
JMR0138,7018,31325
JMR0139,30255,79800
JMR0140,1084,328202
JMR0142,4836,328202
JMR0143,19835,114777
JMR0144,17954,67952
JMR0145,8774,39270
JMR0146,26046,88011
JMR0147,26394,86376
JMR0148,25856,92944
JMR0149,22786,66495
JMR0151,19765,328202
JMR0152,46226,328202
JMR0153,4493,21442
JMR0155,2053,328202
JMR0156,7281,33768
JMR0157,14823,51759
JMR0158,1585,328202
JMR0159,24955,69540
JMR0161,17999,68786
JMR0165,53602,107559
JMR0169,8298,43870
JMR0170,19277,62361
JMR0171,22422,67876
JMR0172,28198,66800
JMR0173,5121,55650
JMR0175,8648,328202
JMR0176,7358,27072
JMR0177,9586,328202
JMR0178,9122,35960
JMR0179,10335,51615
JMR0180,12651,50702
JMR0181,992,328202
JMR0182,4973,42966
JMR0183,21518,70752
JMR0185,970,328202
JMR0186,28916,65780
JMR0187,1192,328202
JMR0188,3034,328202
JMR0189,2556,21798
JMR0193,15023,328202
JMR0194,14010,49276
JMR0195,3200,328202
JMR0196,7887,33699
JMR0197,14233,328202
JMR0199,7763,43077
JMR0200,9044,34010
JMR0201,6393,31725
JMR0202,8326,328202
JMR0204,4294,328202
JMR0205,9198,68440
JMR0206,13147,44080
JMR0209,46903,127804
JMR0210,29032,92928
JMR0212,3447,19872
JMR0213,6394,328202
JMR0217,13937,328202
JMR0218,11045,328202
JMR0219,21989,70115
JMR0220,18884,56610
JMR0222,5746,32045
JMR0223,4169,30912
JMR0224,20512,92769
JMR0225,26831,88917
JMR0228,23898,328202
JMR0229,3744,46800
JMR0230,2212,328202
JMR0231,24958,60792
JMR0232,22403,62780
JMR0233,4767,21120
JMR0234,19148,139476
JMR0235,8315,328202
JMR0236,1882,328202
JMR0237,15090,59658
JMR0239,14132,55176
JMR0240,24384,98134
JMR0241,4015,22960
JMR0242,3554,33434
JMR0243,21131,54692
JMR0244,8843,38272
JMR0246,19842,58320
